encounter,hemisphere,terrain,pca_1,pca_2,pca_3,pca_4,pca_5,nmf_1,nmf_2,nmf_3,nmf_4
E6,leading,chaos,-10.563379500712207,0.5439721479716306,-0.7245059466595413,2.6100275784933897,-1.3632698085545873,0.06598205477246646,0.0,0.1076472478222924,0.5061218390375396
E6,leading,chaos,-10.475689044222074,0.90161038810982,-0.8807605801533164,2.58842065098559,-1.2719974055391379,0.07033098150973513,0.0,0.11096957795137104,0.49977908692897927
E6,leading,chaos,-10.406433373362162,1.0899248274182587,-0.9739932394352999,2.5237169513460067,-1.2108830934171415,0.07330574412254821,0.0,0.11265563524981602,0.4940082457350751
E6,leading,chaos,-10.230454602075998,0.4205305057417279,-1.2602278814631664,2.4340481163230026,-1.101135626671249,0.07476964087923495,0.0,0.11306107645885526,0.46949048641541097
E6,leading,chaos,-9.91105019897617,-1.660129063466317,-1.6300305484293416,3.1752810216166267,-1.2301916177320436,0.07079909100726996,0.0,0.137359072484777,0.4086823582669306
E6,leading,chaos,-10.282562666305955,1.8433966262619883,-1.0373915703848153,2.5009747374871703,-1.2140481884130028,0.08117330515056811,0.0,0.11728983043243195,0.4888096203729733
E6,leading,chaos,-10.423303818324785,1.3468160893661163,-0.8742265423173792,2.4576065418646564,-1.2314504937288795,0.07563487491074236,0.0,0.11330425597833035,0.4949211043339226
E6,leading,chaos,-10.481424060568218,1.1693298115331492,-0.7984409467681223,2.4697073982757587,-1.2420841634629896,0.07296668709788627,0.0,0.11184691069667473,0.49902516933282753
E6,leading,chaos,-10.555493536430555,1.0750943951295246,-0.8277623877372581,2.4931495841316256,-1.2548175037732225,0.07141188382813726,0.0,0.11080438566722442,0.5009703353728329
E6,leading,chaos,-10.423415639374909,1.4141839446173858,-0.9870383903198524,2.4342530887239504,-1.1508119784644986,0.07619332598340069,0.0,0.11348393959024027,0.49361617475084574
E6,leading,chaos,-10.239959548145716,2.021227363959346,-1.1949517679609387,2.3457347691133457,-0.9964001456421542,0.08374299062622972,0.0,0.11844798508178998,0.48327725168618263
E6,leading,chaos,-10.131337533223597,2.4413573101791504,-1.3584225596212929,2.293274155194685,-0.8931905556600471,0.08905210163010795,0.0,0.12205554394418414,0.47564679605682475
E6,leading,chaos,-9.926643628282598,1.956970241791719,-1.6825105843418893,2.2177594690307485,-0.7881602033372376,0.09228419986988161,0.0,0.12360385198148188,0.4503973767269488
E6,leading,chaos,-10.516347745002232,2.640694392309482,-1.4397710052479098,2.7029500542443774,-0.6861552755740327,0.08906930693275489,0.0,0.14412425847463783,0.4612398118728684
E6,leading,chaos,-10.176839568870813,2.3604870150641926,-1.128395613535544,2.411589622768526,-1.0751535331948565,0.08680963503708944,0.0,0.12145025551365515,0.48286614227549834
E6,leading,chaos,-10.348299546265824,1.7927895004813539,-0.9608942943623837,2.345857852157405,-1.1002861740281262,0.08079650292135523,0.0,0.1165848072744675,0.488966928096457
E6,leading,chaos,-10.395411056964033,1.6256421964474892,-0.9041032794912531,2.4023699892208095,-1.1499875038797283,0.0782084365180457,0.0,0.11540502616274512,0.49291061590512014
E6,leading,chaos,-10.439797899956318,1.6328316694435718,-0.9890522350081306,2.420248008250561,-1.1436552151424901,0.0780079293577082,0.0,0.11499562398916627,0.4928814255423516
E6,leading,chaos,-10.274253648917194,2.151070714270117,-1.2128031099352763,2.304814617947243,-0.9671224157762973,0.08510261143491896,0.0,0.11893699586942479,0.48216086881102505
E6,leading,chaos,-10.055994288806495,2.877661455867615,-1.4448393078278785,2.1870565463787335,-0.7748543824965453,0.0940147449331226,0.0,0.1247549378567006,0.47040015383804923
E6,leading,chaos,-9.970024411711291,3.423418433819196,-1.674207468920992,2.1558625123285666,-0.6520330634207074,0.10055699991884014,0.0,0.129278700566051,0.46178790428400723
E6,leading,chaos,-9.737006988033043,3.110096893653077,-1.9299159106560209,2.088797824887323,-0.5608813491841832,0.10431676291062096,0.0,0.13218324413542584,0.4389458261000772
E6,leading,chaos,-10.384732548526733,3.534594381209485,-1.694827472102156,2.525399819496426,-0.4775861685536208,0.09983882099243735,0.0,0.15066955216197225,0.44803641493397495
E6,leading,chaos,-9.894899064550678,-0.13528806426880757,-2.1106952537516506,2.955492964723195,-0.5577330610413848,0.08823217633978372,0.0,0.16112637459514445,0.3740462820513988
E6,leading,chaos,-10.321032903418072,2.236903767639509,-1.046838199511151,2.4353471336700427,-1.0792930082730539,0.08423424971122231,0.0,0.12157150082368655,0.4868163716955486
E6,leading,chaos,-10.482833894865772,1.783703771305345,-0.9859876366392534,2.3561358792025167,-1.1154365560345076,0.07998508394186914,0.0,0.1164258567723449,0.4902894334632409
E6,leading,chaos,-10.49556535052746,1.7132843948414038,-0.9526000572844713,2.3766158335287355,-1.134829695073029,0.07867185016791897,0.0,0.11580067563222297,0.49267083142704327
E6,leading,chaos,-10.413754840285602,1.8024612001401277,-1.0401431066973654,2.3732846322859107,-1.0959051445754369,0.08028660705958646,0.0,0.1166855497870346,0.48920093672096837
E6,leading,chaos,-10.224759476092974,2.265659174428445,-1.2520111015144242,2.2748038717743384,-0.9265658773174038,0.08727983828913739,0.0,0.12106142342034584,0.4774251189594809
E6,leading,chaos,-10.05184315048455,3.1670247379883176,-1.5340201491427772,2.1436358150963133,-0.6820365310649431,0.09759689956394893,0.0,0.12839476653367535,0.46460551688521645
E6,leading,chaos,-9.973391688906188,4.005065835625224,-1.7898963655220663,2.123554729737596,-0.4844719452123514,0.10630256409054478,0.0,0.13660425774938506,0.45441454311288165
E6,leading,chaos,-9.68392064239978,3.904649460530569,-2.018508175196576,2.0788890631447092,-0.33629501045697247,0.11162349820228835,0.0,0.14365615574006968,0.4295207280095571
E6,leading,chaos,-10.500132904782205,2.1552911997969404,-0.9379683893097956,2.496489078214066,-1.0936270399750991,0.0813127987922755,0.0,0.12285547868259461,0.49204154893538826
E6,leading,chaos,-10.542464201721684,1.838050657895957,-1.009752788780236,2.4157663296324445,-1.1265040262580581,0.08006602890495855,0.0,0.11835532139799233,0.4896827022013378
E6,leading,chaos,-10.529466325940257,1.8880971959682125,-0.9959854542444927,2.3951685581346442,-1.1139279549571506,0.08010573876230297,0.0,0.11816672449790079,0.49087797377340675
E6,leading,chaos,-10.380872889120495,1.953926956882072,-1.0592641959552684,2.3548572722417505,-1.0588936175427062,0.0822465587079068,0.0,0.11918459486639431,0.48557611624798525
E6,leading,chaos,-10.25080247705702,2.306715851444197,-1.3159699074284064,2.291530534208299,-0.8895224304044835,0.08862702369997447,0.0,0.12338730064891239,0.47288090378299613
E6,leading,chaos,-10.041302800904306,3.3177656411591334,-1.5831355949130184,2.1207417839287657,-0.599387923414828,0.09998502267232488,0.0,0.13213467552140887,0.45855127579373683
E6,leading,chaos,-9.868500379393486,4.622197937710331,-1.841872807086868,2.108109137765026,-0.3304884991478457,0.11254321562164879,0.0,0.1453543476481625,0.44608238059553346
E6,leading,chaos,-9.651267068319992,4.478551774276219,-2.1879442831116416,2.0827347257702926,-0.10180734069680562,0.11835726230851314,0.0,0.1542380383340387,0.41639046878776936
E6,leading,chaos,-10.824290855229087,1.4986935587440062,-0.8294091810396368,2.6927016895998674,-1.0831868510671951,0.07398110542516151,0.0,0.1283787652476343,0.4901901411224722
