volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error
go_1117,17e009ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e009ti.qub,95.265,leading,chm,chaos,leading_chaos,360,0.6943,5.274,True,True,68.22,51.71,69.42,
go_1117,17e009tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e009tr.qub,95.265,leading,chm,chaos,leading_chaos,360,0.6943,5.274,True,True,68.22,51.71,69.42,
go_1117,17e010ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010ci.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,76.16,63.92,87.13,
go_1117,17e010cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010cr.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,76.16,63.92,87.13,
go_1117,17e010ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010ti.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,73.16,66.15,86.66,
go_1117,17e010tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e010tr.qub,70.27000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,73.16,66.15,86.66,
go_1117,17e011ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011ci.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.15,33.73,91.0,
go_1117,17e011cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011cr.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.15,33.73,91.0,
go_1117,17e011ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011ti.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.42,33.25,90.95,
go_1117,17e011tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e011tr.qub,65.02000000000001,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,77.42,33.25,90.95,
go_1117,19e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001ci.qub,17.655,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.87,56.96,140.94,
go_1117,19e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001cr.qub,17.655,leading,pr,plains,leading_plains,15,0.6889,4.9033,True,False,84.87,56.96,140.94,
