volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error,abs_lon_to_apex_or_anti,n_valid_pixels,missing_frac,ood_dist_0p7_2p0,ood_ratio_0p7_2p0,screen_pass,screen_error,screen_set,obs_id,product
go_1118,25e002ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002ci.qub,21.065,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,43.01,2.08,41.97,,68.935,1211,0.6765491452991452,0.6323826598540317,11.360757057170506,True,,leading_plains_all_coverage,2500.0,ci
go_1118,25e002cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002cr.qub,21.065,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,43.01,2.08,41.97,,68.935,1211,0.6765491452991452,1.483083239368588,26.64359642928397,False,,leading_plains_all_coverage,2500.0,cr
go_1118,25e002ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002ti.qub,21.065,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,42.1,1.97,41.98,,68.935,4934,0.7083924349881796,2.226062951611597,39.99122998259425,False,,leading_plains_all_coverage,2500.0,ti
go_1118,25e002tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e002tr.qub,21.065,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,42.1,1.97,41.98,,68.935,4934,0.7083924349881796,2.6306355439733125,47.2593782504042,False,,leading_plains_all_coverage,2500.0,tr
go_1118,25e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001ci.qub,19.975,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,2.77,40.55,42.11,,70.025,944,0.0464646464646464,0.6001226312558493,10.781205512151988,True,,leading_plains_all_coverage,250.0,ci
go_1118,25e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001cr.qub,19.975,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,2.77,40.55,42.11,,70.025,944,0.0464646464646464,1.485555558553304,26.6880116534962,False,,leading_plains_all_coverage,250.0,cr
go_1118,25e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001ti.qub,19.975,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,2.74,41.38,42.11,,70.025,10525,0.0254629629629629,2.006659642876836,36.04964864851664,False,,leading_plains_all_coverage,250.0,ti
go_1118,25e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1118/europa/25e001tr.qub,19.975,leading,pr,plains,leading_plains,15.0,0.587,4.6967,1.0,0.0,2.74,41.38,42.11,,70.025,10525,0.0254629629629629,2.571973621752798,46.20551657904255,False,,leading_plains_all_coverage,250.0,tr
go_1117,19e001ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001ti.qub,17.67,leading,pr,plains,leading_plains,15.0,0.6889,4.9033,1.0,0.0,84.6,52.43,136.95,,72.33,27831,0.2084470989761092,2.434644522347553,43.73839874949432,False,,leading_plains_all_coverage,190.0,ti
go_1117,19e001tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/19e001tr.qub,17.67,leading,pr,plains,leading_plains,15.0,0.6889,4.9033,1.0,0.0,84.6,52.43,136.95,,72.33,27831,0.2084470989761092,2.505475571135593,45.01087882915252,False,,leading_plains_all_coverage,190.0,tr
