setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
full,logreg,5600,2400,0.17416666666666666,0.9370102921319244,0.9828588878857083,0.9916666666666667,0.569377990430622,0.0510315235839778,0.0014903129657228018,0.0,238,1,0,0,1,3433,moderate,5
context_only,logreg,5600,2400,0.17416666666666666,0.43339763787323105,0.8596145211207084,0.4583333333333333,0.2631578947368421,0.1548896490437934,0.0,0.0,110,0,0,0,130,3433,moderate,5
spectral_only,logreg,5600,2400,0.17666666666666667,0.8963422892557995,0.9710165858223206,0.9666666666666667,0.5471698113207547,0.07142551452000531,0.0,0.0,232,0,0,0,8,3434,moderate,5
spectral_geology,logreg,5600,2400,0.17666666666666667,0.9304873004984339,0.9802667385990375,0.9916666666666667,0.5613207547169812,0.05681465967237673,0.0,0.0,238,0,0,0,2,3434,moderate,5
spectral_radiation,logreg,5600,2400,0.17666666666666667,0.9047379114417099,0.9732234932396301,0.9833333333333333,0.5566037735849056,0.06780175371395253,0.0,0.0,236,0,0,0,4,3434,moderate,5
full,logreg,5600,2400,0.17666666666666667,0.9328824585043876,0.9810962684286915,0.9875,0.5589622641509434,0.05519699076245902,0.0,0.0,237,0,0,0,3,3434,moderate,5
context_only,logreg,5600,2400,0.17666666666666667,0.4475483799292784,0.8668228649453823,0.45,0.25471698113207547,0.1446402903869455,0.0,0.0,108,0,0,0,132,3434,moderate,5
spectral_only,logreg,5600,2400,0.17166666666666666,0.8945672294836042,0.9696809497763279,0.9541666666666667,0.5558252427184466,0.06987666528953936,0.001445086705202312,0.0,229,1,0,1,9,3435,moderate,5
spectral_geology,logreg,5600,2400,0.17166666666666666,0.931237249626192,0.9801027036002422,0.9958333333333333,0.5800970873786407,0.053518028964783707,0.0,0.0,239,0,0,0,1,3435,moderate,5
spectral_radiation,logreg,5600,2400,0.17166666666666666,0.8988091206976855,0.9717101150592878,0.9583333333333334,0.558252427184466,0.06589372224638985,0.001445086705202312,0.0,230,1,0,1,8,3435,moderate,5
full,logreg,5600,2400,0.17166666666666666,0.9321395201036541,0.98074734816667,0.9916666666666667,0.5776699029126213,0.05194698801875358,0.0,0.0,238,0,0,0,2,3435,moderate,5
context_only,logreg,5600,2400,0.17166666666666666,0.47679066119503555,0.8753162176945166,0.5,0.2912621359223301,0.14076322399154595,0.0,0.0,120,0,0,0,120,3435,moderate,5
spectral_only,logreg,5600,2400,0.18041666666666667,0.8865733025528648,0.9690646240332694,0.9458333333333333,0.5242494226327945,0.07281336684982985,0.0,0.0,227,0,0,5,8,3436,moderate,5
spectral_geology,logreg,5600,2400,0.18041666666666667,0.9358275837526089,0.9820631646180453,0.9916666666666667,0.5496535796766744,0.0559369902959565,0.0,0.0,238,0,0,0,2,3436,moderate,5
spectral_radiation,logreg,5600,2400,0.18041666666666667,0.8954554588539725,0.9722311910965105,0.9541666666666667,0.5288683602771362,0.0694588942265708,0.0,0.0,229,0,0,5,6,3436,moderate,5
full,logreg,5600,2400,0.18041666666666667,0.9394844905041313,0.9832220084042592,0.9958333333333333,0.5519630484988453,0.05413656499893012,0.0,0.0,239,0,0,0,1,3436,moderate,5
context_only,logreg,5600,2400,0.18041666666666667,0.454335916527735,0.8661435627812721,0.49583333333333335,0.2748267898383372,0.14935382271456454,0.0,0.0,119,0,0,0,121,3436,moderate,5
