pair_id,delta_spectral_only_exchange_minus_radiation,delta_full_exchange_minus_radiation,score_spectral_exchange,score_spectral_radiation,score_full_exchange,score_full_radiation
36,0.0,0.9086182938977829,0.42061800798882376,0.42061800798882376,0.9086189894505048,6.955527218569915e-07
37,0.0,0.5514267153823159,0.4249395966623539,0.4249395966623539,0.5514268428538984,1.2747158245955456e-07
38,0.0,0.9984454580908515,0.6138367568604128,0.6138367568604128,0.9985057932926882,6.033520183672983e-05
39,0.0,0.9980520288542295,0.6095285896739596,0.6095285896739596,0.999792217088407,0.0017401882341775217
40,0.0,0.8847034317575294,0.43404915912965736,0.43404915912965736,0.8847042367820115,8.050244820993887e-07
41,0.0,0.2964754087124415,0.4156376574798976,0.4156376574798976,0.29647544548626376,3.6773822267861615e-08
42,0.0,0.9846043684931522,0.47245185524808436,0.47245185524808436,0.9846101470343196,5.77854116732073e-06
43,0.0,0.3771650033818418,0.5883480152833196,0.5883480152833196,0.37716574997232616,7.465904844069571e-07
44,0.0,0.7589368862763042,0.6900098456314596,0.6900098456314596,0.7589369637217226,7.744541841676077e-08
45,0.0,0.7729923107598675,0.6476617047210088,0.6476617047210088,0.7729926740254064,3.6326553891331953e-07
46,0.0,0.39212618218164,0.544253501922117,0.544253501922117,0.3921262776660108,9.548437081639088e-08
47,0.0,0.9913961768670763,0.6564902138913143,0.6564902138913143,0.9914174510844496,2.1274217373304368e-05
48,0.0,0.9427726007279731,0.5959737290756957,0.5959737290756957,0.9427748979174315,2.297189458436807e-06
49,0.0,0.887267095277838,0.419248912760532,0.419248912760532,0.8872681650150421,1.0697372041639027e-06
50,0.0,0.8686143716176123,0.5489102074620054,0.5489102074620054,0.8686148383171001,4.66699487744638e-07
51,0.0,0.9944155371810034,0.4096398940784358,0.4096398940784358,0.9944398585882022,2.4321407198798317e-05
52,0.0,0.8663704463785382,0.475649569672744,0.475649569672744,0.8663707156531648,2.6927462660492655e-07
53,0.0,0.9345732135408874,0.6335685585730905,0.6335685585730905,0.9345748763623677,1.6628214803268223e-06
54,0.0,0.9473022614938331,0.5384077660160502,0.5384077660160502,0.9473035483369145,1.2868430814305509e-06
