setting,model,n_subset,positive_rate_subset,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,ambiguous_low,ambiguous_high
full,logreg,90,0.18888888888888888,0.8271267125200521,0.9395648670427076,0.8888888888888888,0.47058823529411764,0.10868830596393049,0.0,0.0,8,0,0,0,1,3433,0.4,0.7
context_only,logreg,90,0.18888888888888888,0.32856453508561967,0.6253021756647865,0.2222222222222222,0.11764705882352941,0.3608824701674792,0.0,0.0,2,0,0,0,7,3433,0.4,0.7
spectral_only,logreg,107,0.205607476635514,0.22503824461490546,0.5026737967914439,0.3,0.13636363636363635,0.2791152251136094,0.125,0.0,3,2,0,0,5,3434,0.4,0.7
full,logreg,107,0.205607476635514,0.778105328025114,0.906951871657754,0.9,0.4090909090909091,0.12303524535257461,0.0,0.0,9,0,0,0,1,3434,0.4,0.7
context_only,logreg,107,0.205607476635514,0.39492538732959376,0.7090909090909091,0.4,0.18181818181818182,0.2924252125824312,0.0,0.0,4,0,0,0,6,3434,0.4,0.7
spectral_only,logreg,99,0.29292929292929293,0.4124928347792374,0.5610837438423645,0.5555555555555556,0.1724137931034483,0.273639869803574,0.0,0.0,5,0,0,2,2,3435,0.4,0.7
full,logreg,99,0.29292929292929293,0.7584371129005647,0.8990147783251232,0.7777777777777778,0.2413793103448276,0.13450873001627958,0.1,0.0,7,1,0,0,1,3435,0.4,0.7
context_only,logreg,99,0.29292929292929293,0.3380180124522858,0.6024630541871921,0.3333333333333333,0.10344827586206896,0.31080790329269925,0.0,0.0,3,0,0,0,6,3435,0.4,0.7
spectral_only,logreg,80,0.15,0.2885786776451738,0.6470588235294117,0.375,0.25,0.2718118214828994,0.0,0.0,3,0,0,1,4,3436,0.4,0.7
full,logreg,80,0.15,0.8229871055958012,0.9399509803921569,0.875,0.5833333333333334,0.10463632936864302,0.0,0.0,7,0,0,0,1,3436,0.4,0.7
context_only,logreg,80,0.15,0.27933411812494835,0.7193627450980392,0.25,0.16666666666666666,0.3243880584193463,0.0,0.0,2,0,0,0,6,3436,0.4,0.7
spectral_only,logreg,92,0.2717391304347826,0.38849438042848217,0.6197014925373134,0.3333333333333333,0.12,0.2699521243967871,0.06666666666666667,0.0,3,1,0,3,2,3437,0.4,0.7
full,logreg,92,0.2717391304347826,0.8471259574904584,0.9086567164179105,1.0,0.36,0.11493969675224118,0.0,0.0,9,0,0,0,0,3437,0.4,0.7
context_only,logreg,92,0.2717391304347826,0.42505943315272354,0.7259701492537314,0.3333333333333333,0.12,0.2719746081987065,0.0,0.0,3,0,0,0,6,3437,0.4,0.7
spectral_only,logreg,83,0.18072289156626506,0.2650366327504759,0.6303921568627451,0.125,0.06666666666666667,0.2780492265387994,0.0,0.0,1,0,0,5,2,3438,0.4,0.7
full,logreg,83,0.18072289156626506,0.5453836825713995,0.8480392156862745,0.625,0.3333333333333333,0.15169241639870376,0.07692307692307693,0.0,5,1,0,0,2,3438,0.4,0.7
