setting,model,n_train,n_test,positive_rate_test,pr_auc,roc_auc,precision_at_10pct,recall_at_top10pct,brier,fpr_radiation_mimic_top10pct,fpr_exogenic_complex_organic_top10pct,top10_positive_count,top10_radiation_mimic_count,top10_exogenic_count,top10_noise_count,top10_ocean_nonorganic_count,seed,noise_condition,smoothing_window
full,logreg,5600,2400,0.17708333333333334,0.9761669980928984,0.9926588235294118,1.0,0.5647058823529412,0.027577471791977632,0.0,0.0,240,0,0,0,0,3430,moderate,5
context_only,logreg,5600,2400,0.17708333333333334,0.44299517019167306,0.8642752047654505,0.44166666666666665,0.24941176470588236,0.15021617903383133,0.0,0.0,106,0,0,0,134,3430,moderate,5
spectral_only,logreg,5600,2400,0.18291666666666667,0.9610888661664433,0.9878333656646289,0.9958333333333333,0.5444191343963554,0.03836685441953633,0.0,0.0,239,0,0,1,0,3431,moderate,5
spectral_geology,logreg,5600,2400,0.18291666666666667,0.9836073477525954,0.9953001525185304,1.0,0.5466970387243736,0.02281037733749842,0.0,0.0,240,0,0,0,0,3431,moderate,5
spectral_radiation,logreg,5600,2400,0.18291666666666667,0.9648964940115808,0.989188956868503,0.9916666666666667,0.5421412300683371,0.03552698046215364,0.0,0.0,238,0,0,2,0,3431,moderate,5
full,logreg,5600,2400,0.18291666666666667,0.9848116106330502,0.9957764099252043,1.0,0.5466970387243736,0.021597998844785575,0.0,0.0,240,0,0,0,0,3431,moderate,5
context_only,logreg,5600,2400,0.18291666666666667,0.5198961672821529,0.8811331209147859,0.5291666666666667,0.28929384965831434,0.13920089533596985,0.0,0.0,127,0,0,0,113,3431,moderate,5
spectral_only,logreg,5600,2400,0.18375,0.9589569121100108,0.9889260451500661,0.9916666666666667,0.5396825396825397,0.04208311145374724,0.0,0.0,238,0,0,2,0,3432,moderate,5
spectral_geology,logreg,5600,2400,0.18375,0.9781534937176868,0.9932458945803948,1.0,0.54421768707483,0.02621125576224284,0.0,0.0,240,0,0,0,0,3432,moderate,5
spectral_radiation,logreg,5600,2400,0.18375,0.9612240162507473,0.9897768193545923,0.9875,0.5374149659863946,0.04123518851201897,0.0,0.0,237,0,0,2,1,3432,moderate,5
full,logreg,5600,2400,0.18375,0.9789253894513404,0.9935873617781297,1.0,0.54421768707483,0.025925160190963394,0.0,0.0,240,0,0,0,0,3432,moderate,5
context_only,logreg,5600,2400,0.18375,0.468652947781982,0.8728052051176095,0.4875,0.2653061224489796,0.14206059949948846,0.0,0.0,117,0,0,0,123,3432,moderate,5
