pair_id,delta_spectral_only_exchange_minus_radiation,delta_full_exchange_minus_radiation,score_spectral_exchange,score_spectral_radiation,score_full_exchange,score_full_radiation
65,0.0,0.9003681656160085,0.5422345274670801,0.5422345274670801,0.9006943728387373,0.00032620722272875576
66,0.0,0.7495806077759534,0.5720308110687188,0.5720308110687188,0.7497792950068802,0.00019868723092687416
67,0.0,0.41239004466373635,0.40620177754798553,0.40620177754798553,0.4124048385330359,1.4793869299539152e-05
68,0.0,0.6166120571309408,0.5545589079708313,0.5545589079708313,0.6166825765219951,7.051939105426032e-05
69,0.0,0.9836171538605791,0.6628294052728402,0.6628294052728402,0.9992584998962921,0.015641346035712978
70,0.0,0.8905751300256752,0.47406629946611306,0.47406629946611306,0.8907800408335498,0.00020491080787451497
71,0.0,0.8399847324128427,0.4034539828883214,0.4034539828883214,0.8401108853794677,0.00012615296662500948
72,0.0,0.9856347774624129,0.42684873550000807,0.42684873550000807,0.9875211135987464,0.0018863361363335295
73,0.0,0.7198288373469651,0.4616275844108791,0.4616275844108791,0.7198847714369109,5.593408994577415e-05
74,0.0,0.44012448869394616,0.5147168627572775,0.5147168627572775,0.4402087897784523,8.430108450611655e-05
75,0.0,0.855716644777059,0.4874912099571917,0.4874912099571917,0.8558994135947686,0.00018276881770958248
76,0.0,0.9431040159761982,0.6829461557545903,0.6829461557545903,0.9433616668210699,0.000257650844871731
77,0.0,0.9413229373061397,0.46609218687619614,0.46609218687619614,0.9417071475750841,0.00038421026894446545
78,0.0,0.6849254293146614,0.4863580585813745,0.4863580585813745,0.6850304669134913,0.00010503759883000039
79,0.0,0.35654736716731456,0.4549334882595528,0.4549334882595528,0.3565714003579326,2.403319061805508e-05
80,0.0,0.9357013178211517,0.6441033857082671,0.6441033857082671,0.9359465085143619,0.00024519069321018864
81,0.0,0.9759029245554856,0.4095854055504643,0.4095854055504643,0.9766554514837145,0.0007525269282289257
82,0.0,0.9411730228673365,0.692488897123397,0.692488897123397,0.9414798691054563,0.0003068462381197922
83,0.0,0.9536740869748258,0.570825256798234,0.570825256798234,0.9538643678589322,0.00019028088410649253
84,0.0,0.6214634492804736,0.4182106094675671,0.4182106094675671,0.6215108557570674,4.740647659389427e-05
85,0.0,0.9350287451064261,0.6142676240750483,0.6142676240750483,0.9354359654728206,0.0004072203663945627
86,0.0,0.869781712912997,0.5664141554356302,0.5664141554356302,0.8698999644717704,0.00011825155877339668
87,0.0,0.7116746114333944,0.4912530526527975,0.4912530526527975,0.7117564744452579,8.18630118635204e-05
88,0.0,0.7269143434294234,0.672707068864971,0.672707068864971,0.7269384284402848,2.4085010861334043e-05
89,0.0,0.8847790315625967,0.4101640353357698,0.4101640353357698,0.8848572895413309,7.825797873420171e-05
90,0.0,0.9821088932254586,0.5560865690735125,0.5560865690735125,0.9825670864418258,0.00045819321636722234
91,0.0,0.9256397274107813,0.5982566101513646,0.5982566101513646,0.9258706042394474,0.0002308768286662207
92,0.0,0.9541926018394734,0.4901689404785946,0.4901689404785946,0.9982242691741411,0.04403166733466763
93,0.0,0.9317682882086806,0.6275787344517653,0.6275787344517653,0.932455043272365,0.000686755063684282
94,0.0,0.783677026982698,0.45384064211959096,0.45384064211959096,0.7837993261004884,0.0001222991177904016
95,0.0,0.4674324999334557,0.4615381432461042,0.4615381432461042,0.46745478232600957,2.228239255389059e-05
96,0.0,0.9735516234233117,0.6521677272949984,0.6521677272949984,0.9740107526300426,0.0004591292067308207
97,0.0,0.7277882632884559,0.4273245433897825,0.4273245433897825,0.7278205590659029,3.229577744698109e-05
98,0.0,0.7798397102456311,0.4964856833047492,0.4964856833047492,0.7799847427371405,0.0001450324915093731
99,0.0,0.8428431304802242,0.5212863094872328,0.5212863094872328,0.8429679270614459,0.00012479658122169113
