wavelength_um,value,kind,source_id,source_name,notes
0.414,0.8481215299999999,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.415,0.8488306789999999,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.416,0.8481897675000001,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.417,0.8483279868333334,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.418,0.8481871480000001,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.419,0.8470936695,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.42,0.8452489543333334,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.421,0.8461066199999999,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.422,0.8466774298333334,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.423,0.84651612,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.424,0.8470955943333335,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.425,0.8471795603333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.426,0.8471927981666667,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.427,0.8472951326666666,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.428,0.8468109088333332,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.429,0.8486267278333334,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.43,0.8489859606666667,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.431,0.8457783066666665,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.432,0.8479298696666667,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.433,0.8481790845,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.434,0.8465847676666667,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.435,0.8469085623333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.436,0.8471962995000001,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.437,0.8469393051666666,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.438,0.8465802008333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.439,0.8474743180000001,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.44,0.8469734973333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.441,0.8465813271666667,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.442,0.8474155010000001,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.443,0.8471290358333333,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.444,0.8469914081666666,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.445,0.8469235979999999,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
0.446,0.8464523389999999,reflectance,hayesli_sao_endmember,Hayes & Li H2SO4·8H2O / sulfuric acid octahydrate (SAO) endmember,extracted from uploaded ReflSpectra_SAO_Water_Mixes.mat; variable=SAO_endmember; wavelength range 0.35-2.50 um; not full 0.7-5.2 um
