wavelength_um,value,kind,source_id,source_name,notes
1.0,0.241499,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.01,0.24298,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.02,0.245113,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.03,0.247813,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.04,0.250389,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.05,0.253466,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.06,0.256966,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.07,0.26017,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.08,0.262838,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
1.09,0.26471,reflectance,roush_dalton_2002_titan_tholin_100K_digitized,Titan tholin cryogenic reflectance at 100 K,"Titan tholin laboratory bidirectional reflectance digitized from Roush and Dalton 2002 Figure 1; organic/tholin reflectance proxy; not PAHdb; approximate, not original table"
